TO02052 1_200060842            44.109   10.534    0 Tos prec temp dirv velv umid txtn pres
TO02053 1_200060843            44.202   10.062    0 Tos prec temp dirv velv umid txtn pres
TO02054 1_200060845            44.042   10.833    0 Tos prec temp dirv velv umid txtn pres
TO02055 1_200060846            43.880   11.000    0 Tos prec temp dirv velv umid txtn pres
TO02056 1_200060848            43.680   10.590    0 Tos prec temp dirv velv umid txtn pres
TO02057 1_200060849            43.665   10.631    0 Tos prec temp dirv velv umid txtn pres
TO02058 1_200060854            43.592   10.684    0 Tos prec temp dirv velv umid txtn pres
TO02059 1_200060855            43.638   10.391    0 Tos prec temp dirv velv umid txtn pres
TO02060 1_200060856            43.632   10.851    0 Tos prec temp dirv velv umid txtn pres
TO02061 1_200060857            43.651   10.588    0 Tos prec temp dirv velv umid txtn pres
TO02062 1_200060858            43.410   10.671    0 Tos prec temp dirv velv umid txtn pres
TO02063 1_200060859            43.456   10.830    0 Tos prec temp dirv velv umid txtn pres
TO02064 1_200060860            43.712   10.412    0 Tos prec temp dirv velv umid txtn pres
TO02065 1_200060862            43.409   10.862    0 Tos prec temp dirv velv umid txtn pres
TO02066 1_200060863            43.774   10.657    0 Tos prec temp dirv velv umid txtn pres
TO02067 1_200060864            43.600   10.352    0 Tos prec temp dirv velv umid txtn pres
TO02068 1_200060865            43.991   10.964    0 Tos prec temp dirv velv umid txtn pres
TO02069 1_200060866            43.819   10.826    0 Tos prec temp dirv velv umid txtn pres
TO02070 1_200060867            43.724   10.946    0 Tos prec temp dirv velv umid txtn pres
TO02071 1_200060869            43.954   10.823    0 Tos prec temp dirv velv umid txtn pres
TO02072 1_200060870            43.892   10.771    0 Tos prec temp dirv velv umid txtn pres
TO02073 1_200060871            43.923   10.894    0 Tos prec temp dirv velv umid txtn pres
TO02074 1_200060872            43.845   10.908    0 Tos prec temp dirv velv umid txtn pres
TO02075 1_200060873            43.972   10.756    0 Tos prec temp dirv velv umid txtn pres
TO02076 1_200060874            43.861   11.155    0 Tos prec temp dirv velv umid txtn pres
TO02077 1_200060875            44.021   11.080    0 Tos prec temp dirv velv umid txtn pres
TO02078 1_200060876            43.604   10.968    0 Tos prec temp dirv velv umid txtn pres
TO02079 1_200060877            43.849   11.276    0 Tos prec temp dirv velv umid txtn pres
TO02080 1_200060878            43.959   11.070    0 Tos prec temp dirv velv umid txtn pres
TO02081 1_200060883            43.530   10.928    0 Tos prec temp dirv velv umid txtn pres
TO02082 1_200060884            43.773   11.093    0 Tos prec temp dirv velv umid txtn pres
TO02083 1_200060886            43.886   11.099    0 Tos prec temp dirv velv umid txtn pres
TO02084 1_200060887            43.471   11.041    0 Tos prec temp dirv velv umid txtn pres
TO02085 1_200060889            43.719   11.036    0 Tos prec temp dirv velv umid txtn pres
TO02086 1_200060890            43.786   10.959    0 Tos prec temp dirv velv umid txtn pres
TO02087 1_200060892            43.840   11.311    0 Tos prec temp dirv velv umid txtn pres
TO02088 1_200060893            43.819   11.168    0 Tos prec temp dirv velv umid txtn pres
TO02089 1_200060894            44.071   11.094    0 Tos prec temp dirv velv umid txtn pres
TO02090 1_200060896            43.945   11.214    0 Tos prec temp dirv velv umid txtn pres
TO02091 1_200060897            44.080   11.281    0 Tos prec temp dirv velv umid txtn pres
TO02092 1_200060898            44.049   11.304    0 Tos prec temp dirv velv umid txtn pres
TO02093 1_200060900            44.021   11.337    0 Tos prec temp dirv velv umid txtn pres
TO02094 1_200060901            43.965   11.328    0 Tos prec temp dirv velv umid txtn pres
TO02095 1_200060903            43.923   11.127    0 Tos prec temp dirv velv umid txtn pres
TO02096 1_200060904            44.056   11.121    0 Tos prec temp dirv velv umid txtn pres
TO02097 1_200060906            43.958   11.390    0 Tos prec temp dirv velv umid txtn pres
TO02098 1_200060907            43.983   11.237    0 Tos prec temp dirv velv umid txtn pres
TO02099 1_200060908            43.785   11.585    0 Tos prec temp dirv velv umid txtn pres
TO02100 1_200060910            43.886   11.525    0 Tos prec temp dirv velv umid txtn pres
TO02101 1_200060911            43.648   11.264    0 Tos prec temp dirv velv umid txtn pres
TO02102 1_200060913            43.613   11.427    0 Tos prec temp dirv velv umid txtn pres
TO02103 1_200060914            44.050   11.197    0 Tos prec temp dirv velv umid txtn pres
TO02104 1_200060915            43.617   11.135    0 Tos prec temp dirv velv umid txtn pres
TO02105 1_200060916            43.772   11.423    0 Tos prec temp dirv velv umid txtn pres
TO02106 1_200060918            44.032   11.468    0 Tos prec temp dirv velv umid txtn pres
TO02107 1_200060919            44.008   11.436    0 Tos prec temp dirv velv umid txtn pres
TO02108 1_200060920            43.848   11.403    0 Tos prec temp dirv velv umid txtn pres
TO02109 1_200060923            43.472   11.892    0 Tos prec temp dirv velv umid txtn pres
TO02110 1_200060924            43.436   11.649    0 Tos prec temp dirv velv umid txtn pres
TO02111 1_200060925            43.794   11.877    0 Tos prec temp dirv velv umid txtn pres
TO02112 1_200060926            43.712   11.830    0 Tos prec temp dirv velv umid txtn pres
TO02113 1_200060928            43.810   11.816    0 Tos prec temp dirv velv umid txtn pres
TO02114 1_200060930            43.690   11.456    0 Tos prec temp dirv velv umid txtn pres
TO02115 1_200060931            43.707   11.931    0 Tos prec temp dirv velv umid txtn pres
TO02116 1_200060932            43.339   11.742    0 Tos prec temp dirv velv umid txtn pres
TO02117 1_200060933            43.740   11.620    0 Tos prec temp dirv velv umid txtn pres
TO02118 1_200060934            43.489   12.105    0 Tos prec temp dirv velv umid txtn pres
TO02119 1_200060935            43.682   11.751    0 Tos prec temp dirv velv umid txtn pres
TO02120 1_200060936            43.650   11.555    0 Tos prec temp dirv velv umid txtn pres
TO02121 1_200060937            43.669   12.043    0 Tos prec temp dirv velv umid txtn pres
TO02122 1_200060940            43.908   11.275    0 Tos prec temp dirv velv umid txtn pres
TO02123 1_200060941            43.837   11.670    0 Tos prec temp dirv velv umid txtn pres
TO02124 1_200060942            43.963   11.540    0 Tos prec temp dirv velv umid txtn pres
TO02125 1_200060943            43.615   11.813    0 Tos prec temp dirv velv umid txtn pres
TO02126 1_200060944            43.664   11.315    0 Tos prec temp dirv velv umid txtn pres
TO02127 1_200060945            43.799   11.251    0 Tos prec temp dirv velv umid txtn pres
TO02128 1_200060946            44.007   11.271    0 Tos prec temp dirv velv umid txtn pres
TO02129 1_200060947            43.471   11.129    0 Tos prec temp dirv velv umid txtn pres
TO02130 1_200060948            43.760   11.194    0 Tos prec temp dirv velv umid txtn pres
TO02131 1_200060950            43.804   11.703    0 Tos prec temp dirv velv umid txtn pres
TO02132 1_200060952            43.732   11.557    0 Tos prec temp dirv velv umid txtn pres
TO02133 1_200060954            43.780   11.260    0 Tos prec temp dirv velv umid txtn pres
TO02134 1_200060955            43.680   10.830    0 Tos prec temp dirv velv umid txtn pres
TO02135 1_200060956            43.421   11.979    0 Tos prec temp dirv velv umid txtn pres
TO02136 1_200060958            43.521   10.404    0 Tos prec temp dirv velv umid txtn pres
TO02137 1_200060959            43.387   10.743    0 Tos prec temp dirv velv umid txtn pres
